epoch,train_loss,eval_loss
2.7199999999999998,1.6126,
2.724,1.6285,
2.7279999999999998,1.6346,
2.732,1.6063,
2.7359999999999998,1.6982,
2.74,1.6364,
2.7439999999999998,1.5797,
2.748,1.6524,
2.752,1.605,
2.7560000000000002,1.6743,
2.76,1.5537,
2.7640000000000002,1.6488,
2.768,1.5978,
2.7720000000000002,1.5979,
2.776,1.674,
2.7800000000000002,1.6492,
2.784,1.6264,
2.7880000000000003,1.6653,
2.792,1.6259,
2.7960000000000003,1.5272,
2.8,1.5829,
2.8040000000000003,1.6194,
2.808,1.6377,
2.8120000000000003,1.6432,
2.816,1.6574,
2.82,1.6414,
2.824,1.6009,
2.828,1.6289,
2.832,1.6734,
2.836,1.5903,
2.84,1.6019,
2.844,1.6187,
2.848,1.6705,
2.852,1.6061,
2.856,1.6024,
2.86,1.6178,
2.864,1.5879,
2.868,1.6825,
2.872,1.5982,
2.876,1.6518,
2.88,1.6117,
2.884,1.6293,
2.888,1.6048,
2.892,1.7121,
2.896,1.5951,
2.9,1.6558,
2.904,1.5661,
2.908,1.5721,
2.912,1.5822,
2.916,1.6565,
2.92,1.6373,
2.924,1.6832,
2.928,1.652,
2.932,1.6708,
2.936,1.5757,
2.94,1.616,
2.944,1.6205,
2.948,1.601,
2.952,1.6557,
2.956,1.6269,
2.96,1.6534,
2.964,1.6076,
2.968,1.618,
2.972,1.6196,
2.976,1.687,
2.98,1.5597,
2.984,1.6378,
2.988,1.6007,
2.992,1.6225,
2.996,1.698,
3.0,1.6511,1.9453037977218628
